Location;CountyGeoId;NAME
34.3424135138,-104.411957888;35011;De Baca County
18.1875265182,-65.8693174115;72085;Las Piedras Municipio
35.8598655553,-92.1567129536;05137;Stone County
38.0805527548,-106.281555562;08109;Saguache County
30.6184688458,-86.1715163089;12131;Walton County
35.5424444709,-97.9824010419;40017;Canadian County
40.4037747348,-91.1646955496;17067;Hancock County
42.3911118186,-96.564513018;31043;Dakota County
38.291547316,-84.5839338937;21209;Scott County
37.9991525438,-101.791256465;20075;Hamilton County
41.8881456263,-74.2585695251;36111;Ulster County
45.4190045389,-119.584275031;41049;Morrow County
33.5827978515,-85.0797630545;13045;Carroll County
45.8138937581,-109.941013899;30097;Sweet Grass County
37.4127561973,-88.5616201146;17151;Pope County
41.0317620678,-91.9488728782;19101;Jefferson County
36.3920428566,-86.1567527604;47169;Trousdale County
42.4321558891,-122.728517877;41029;Jackson County
38.0674165811,-78.9013542096;51820;Waynesboro city
40.3469033297,-87.3533144839;18171;Warren County
28.8475696914,-82.5201067311;12017;Citrus County
38.3642764332,-86.8798021177;18037;Dubois County
36.835513749,-94.810429621;40115;Ottawa County
41.0001918546,-78.4741251099;42033;Clearfield County
40.5244687103,-98.5012089617;31001;Adams County
40.6598994131,-74.3081414246;34039;Union County
30.6851516211,-88.1975233535;01097;Mobile County
37.2641094188,-85.5531056748;21087;Green County
46.2086670875,-88.5305528694;26071;Iron County
33.1768244406,-101.816123837;48305;Lynn County
35.0175290075,-79.237290715;37093;Hoke County
40.1763469163,-101.042272426;31087;Hitchcock County
37.5947979696,-83.7162777687;21129;Lee County
38.4021560325,-108.269451135;08085;Montrose County
37.2779522735,-105.428249706;08023;Costilla County
32.346971275,-84.7870462059;13053;Chattahoochee County
46.8106825848,-102.65508878;38089;Stark County
33.2334606021,-98.1724585828;48237;Jack County
41.0933920308,-89.7974473885;17175;Stark County
37.6846796381,-104.960584534;08055;Huerfano County
28.9057389627,-97.8594018287;48255;Karnes County
36.7152338187,-95.9043661801;40147;Washington County
39.0075029241,-78.8579227191;54031;Hardy County
34.2898117968,-81.6001198539;45071;Newberry County
41.3021937169,-80.2577062656;42085;Mercer County
38.0874875679,-88.1795748823;17193;White County
44.4096825746,-92.7229029989;27049;Goodhue County
28.3067419076,-82.438869799;12101;Pasco County
39.3170652967,-78.614168492;54027;Hampshire County
31.9131719625,-89.9194880948;28127;Simpson County
39.3128100483,-86.8376542268;18119;Owen County
37.3785013178,-81.653583786;54047;McDowell County
39.2835296916,-80.3798749895;54033;Harrison County
42.9145713002,-96.9756376237;46027;Clay County
33.9879970441,-98.7035507511;48485;Wichita County
47.3079544484,-111.347045865;30013;Cascade County
37.1923179509,-101.312046958;20189;Stevens County
35.2399169268,-87.7880131637;47181;Wayne County
37.3151524068,-79.5241721318;51019;Bedford County
42.2532253491,-83.83877051;26161;Washtenaw County
38.4603650792,-91.8618379561;29151;Osage County
41.6715248584,-91.5881018852;19103;Johnson County
36.7580732628,-84.145177727;21235;Whitley County
33.6041424405,-102.828435632;48079;Cochran County
47.8692071189,-120.618973477;53007;Chelan County
18.1252645849,-65.4323048679;72147;Vieques Municipio
38.292414567,-86.4517083941;18025;Crawford County
18.4578316549,-65.9025233046;72087;Loíza Municipio
34.5387970384,-93.6595529416;05097;Montgomery County
36.2778878907,-102.60218562;48111;Dallam County
35.9503879058,-84.9983515819;47035;Cumberland County
45.0214343278,-84.5989931681;26137;Otsego County
29.9855183221,-83.1810673054;12067;Lafayette County
36.5236457051,-83.2218260273;47067;Hancock County
30.8533433125,-90.0405268831;22117;Washington Parish
37.2288385526,-98.684790626;20007;Barber County
46.2398610144,-119.511127184;53005;Benton County
41.0331711391,-89.3447914374;17123;Marshall County
32.8624049426,-85.7975022448;01123;Tallapoosa County
55.2245210175,-161.947228747;02013;Aleutians East Borough
37.0759383564,-77.6322882986;51053;Dinwiddie County
37.6504930265,-121.917998966;06001;Alameda County
35.1863303424,-91.2430822004;05147;Woodruff County
36.6180054611,-82.1607018861;51520;Bristol city
41.3574164267,-83.14391569;39143;Sandusky County
33.9046109451,-78.9761374454;45051;Horry County
29.1678318425,-95.4342547974;48039;Brazoria County
44.0428854726,-83.7472418424;26011;Arenac County
45.4883821256,-110.526662711;30067;Park County
18.343826453,-66.1140504606;72061;Guaynabo Municipio
39.0580193147,-90.9600453966;29113;Lincoln County
38.8978264216,-80.2334232097;54097;Upshur County
38.0309985368,-98.7174450154;20185;Stafford County
36.2983026796,-88.7177438488;47183;Weakley County
42.7023842075,-78.2244395122;36121;Wyoming County
35.6883600988,-99.6957077129;40129;Roger Mills County
43.0815577125,-93.2608184346;19033;Cerro Gordo County
44.5929338436,-74.3037621955;36033;Franklin County
18.443076541,-66.8626349655;72027;Camuy Municipio
33.6166121137,-100.778860652;48125;Dickens County
41.0289838852,-94.6991848828;19003;Adams County
37.1933028033,-100.851287248;20175;Seward County
38.6130327476,-85.3375681071;21223;Trimble County
35.0217248029,-77.3551679748;37103;Jones County
44.9380153707,-98.3461899802;46115;Spink County
38.9240617743,-80.8570836304;54021;Gilmer County
33.2672553197,-91.2939728213;05017;Chicot County
34.1338827438,-83.5663480377;13157;Jackson County
39.7736200492,-87.2063672164;18121;Parke County
40.8181139287,-90.925108658;17071;Henderson County
38.3623255596,-79.5685441465;51091;Highland County
37.0216059108,-122.009787403;06087;Santa Cruz County
35.0169370912,-97.8841201933;40051;Grady County
38.5999841735,-86.1053059023;18175;Washington County
30.2663768834,-98.3998650256;48031;Blanco County
33.2660636336,-81.4350227718;45011;Barnwell County
43.4633261176,-114.805776873;16025;Camas County
45.0043671834,-88.7100058635;55078;Menominee County
38.0267183008,-77.3470467441;51033;Caroline County
37.2650404186,-77.3969067219;51570;Colonial Heights city
38.0270346749,-92.7660468541;29029;Camden County
30.6266523214,-90.4056805267;22105;Tangipahoa Parish
38.4207190191,-77.4574003866;51179;Stafford County
41.0229983046,-87.1161212419;18073;Jasper County
43.9878918655,-84.8478607548;26035;Clare County
37.286581954,-107.843270687;08067;La Plata County
44.2839056343,-112.351297512;16033;Clark County
18.0559662881,-65.8633023194;72151;Yabucoa Municipio
33.3862927393,-95.6722708168;48119;Delta County
36.3900951244,-78.9718051426;37145;Person County
